User;Название;Жанр;Рейтинг
Иван;Тёмный рыцарь;боевик;9.4
Иван;Джон Уик;боевик;9.9
Иван;Mad Max: Fury Road;боевик;9.9
Иван;Матрица;боевик;9.0
Иван;Пятый элемент;боевик;8.1
Иван;Начало;боевик;7.9
Иван;Прибытие;фантастика;8.0
Иван;Район 9;фантастика;8.8
Иван;Бегущий по лезвию 2049;фантастика;8.3
Иван;Гравитация;фантастика;8.7
Иван;Превосходство;фантастика;8.1
Иван;Назад в будущее;фантастика;8.7
Иван;Звёздные войны;фантастика;7.9
Иван;Зелёная миля;драма;7.1
Иван;Амели;драма;8.7
Иван;Город грехов;криминал;8.3
Иван;Однажды в Америке;криминал;8.8
Иван;Место преступления;криминал;9.0
Иван;Goodfellas;криминал;8.0
Иван;Молчание ягнят;триллер;7.7
Иван;Профессионал;триллер;8.9
Иван;Большой Лебовски;комедия;7.5
Иван;Напролом;комедия;7.1
Иван;Гарри Поттер;фэнтези;8.2
Павел;Матрица;боевик;8.3
Павел;Mad Max: Fury Road;боевик;10.0
Павел;Начало;боевик;8.1
Павел;Терминатор 2;боевик;8.8
Павел;Скала;боевик;8.7
Павел;Довод;боевик;9.8
Павел;Солярис;фантастика;9.6
Павел;Марсианин;фантастика;8.9
Павел;Интерстеллар;фантастика;8.8
Павел;Гравитация;фантастика;9.3
Павел;Бегущий по лезвию 2049;фантастика;8.3
Павел;Район 9;фантастика;9.6
Павел;Звёздные войны;фантастика;8.3
Павел;Пианист;драма;7.4
Павел;Список Шиндлера;драма;8.4
Павел;Джокер;драма;8.6
Павел;Зелёная миля;драма;7.2
Павел;Во все тяжкие;криминал;8.7
Павел;Крёстный отец;криминал;8.8
Павел;Исчезнувшая;триллер;7.8
Павел;Профессионал;триллер;8.8
Павел;Молчание ягнят;триллер;8.1
Павел;Жертва;триллер;8.0
Павел;Всё везде и сразу;комедия;8.1
Павел;Хоббит;фэнтези;8.8
Павел;Гарри Поттер;фэнтези;8.1
Павел;Ведьмак;фэнтези;9.2
Алексей;Скала;боевик;8.7
Алексей;Пятый элемент;боевик;8.2
Алексей;Тёмный рыцарь;боевик;9.7
Алексей;Довод;боевик;9.6
Алексей;Матрица;боевик;8.3
Алексей;Терминатор 2;боевик;9.0
Алексей;Назад в будущее;фантастика;9.0
Алексей;Гравитация;фантастика;8.9
Алексей;Марсианин;фантастика;9.6
Алексей;Превосходство;фантастика;7.8
Алексей;Интерстеллар;фантастика;8.3
Алексей;Бегущий по лезвию 2049;фантастика;8.9
Алексей;Список Шиндлера;драма;8.1
Алексей;1+1;драма;8.1
Алексей;Достучаться до небес;драма;6.9
Алексей;Жизнь прекрасна;драма;7.0
Алексей;Место преступления;криминал;9.3
Алексей;Goodfellas;криминал;8.2
Алексей;Игра;триллер;7.9
Алексей;Профессионал;триллер;9.1
Алексей;Всё везде и сразу;комедия;8.3
Алексей;Тор;фэнтези;9.4
Алексей;Гарри Поттер;фэнтези;7.7
Алексей;Хроники Нарнии;фэнтези;8.6
Миша;Довод;боевик;9.7
Миша;Mad Max: Fury Road;боевик;9.9
Миша;Джон Уик;боевик;9.4
Миша;Терминатор 2;боевик;8.9
