User;Название;Жанр;Рейтинг
Иван;Список Шиндлера;драма;7.9
Иван;Тёмный рыцарь;боевик;8.4
Иван;Семь;триллер;7.7
Иван;Довод;боевик;10.0
Иван;Бойцовский клуб;триллер;8.3
Иван;Goodfellas;криминал;8.9
Иван;Интерстеллар;фантастика;9.1
Иван;Крёстный отец;криминал;7.7
Иван;Зелёная миля;драма;8.5
Иван;Pulp Fiction;криминал;9.0
Иван;Звёздные войны;фантастика;8.1
Иван;Форрест Гамп;драма;8.9
Иван;Терминатор 2;боевик;9.1
Иван;Леон;криминал;8.4
Иван;Начало;боевик;8.7
Иван;Назад в будущее;фантастика;7.7
Иван;Матрица;боевик;8.8
Иван;Престиж;триллер;8.6
Иван;Большой Лебовски;комедия;7.3
Иван;Побег из Шоушенка;драма;8.2
Иван;Молчание ягнят;триллер;8.3
Иван;Однажды в Голливуде;комедия;8.1
Ольга;Тёмный рыцарь;боевик;7.8
Ольга;Один дома;комедия;7.5
Ольга;Список Шиндлера;драма;8.2
Ольга;Семь;триллер;7.5
Ольга;Интерстеллар;фантастика;8.0
Ольга;Зелёная миля;драма;9.3
Ольга;Бойцовский клуб;триллер;8.2
Ольга;Матрица;боевик;8.4
Ольга;Леон;криминал;9.0
Ольга;Звёздные войны;фантастика;8.5
Ольга;Однажды в Голливуде;комедия;8.3
Ольга;Властелин колец;фэнтези;7.6
Ольга;Начало;боевик;8.8
Ольга;Престиж;триллер;8.1
Ольга;Молчание ягнят;триллер;8.0
Ольга;Крёстный отец;криминал;7.1
Ольга;Довод;боевик;8.6
Ольга;Большой Лебовски;комедия;7.8
Ольга;Назад в будущее;фантастика;7.8
Ольга;Джокер;драма;8.4
Ольга;Терминатор 2;боевик;8.4
Ольга;Goodfellas;криминал;9.1
Сергей;Однажды в Голливуде;комедия;7.6
Сергей;Терминатор 2;боевик;8.9
Сергей;Один дома;комедия;7.5
Сергей;Pulp Fiction;криминал;9.1
Сергей;Властелин колец;фэнтези;8.0
Сергей;Крёстный отец;криминал;7.0
Сергей;Довод;боевик;9.8
Сергей;Большой Лебовски;комедия;7.3
Сергей;Goodfellas;криминал;8.8
Сергей;Семь;триллер;8.0
Сергей;Начало;боевик;9.6
Сергей;Джокер;драма;8.1
Сергей;Список Шиндлера;драма;7.6
Сергей;Назад в будущее;фантастика;7.9
Сергей;Матрица;боевик;9.3
Сергей;Престиж;триллер;9.1
Сергей;Леон;криминал;8.9
Сергей;Форрест Гамп;драма;9.0
Сергей;Звёздные войны;фантастика;8.0
Сергей;Бойцовский клуб;триллер;8.3
Сергей;Молчание ягнят;триллер;8.4
Сергей;Тёмный рыцарь;боевик;8.9
Сергей;Побег из Шоушенка;драма;8.7
Сергей;Интерстеллар;фантастика;9.0
Сергей;Зелёная миля;драма;8.8
Мария;Леон;криминал;8.9
Мария;Молчание ягнят;триллер;8.0
Мария;Довод;боевик;9.4
Мария;Семь;триллер;7.5
Мария;Бойцовский клуб;триллер;8.9
Мария;Один дома;комедия;7.2
Мария;Начало;боевик;8.7
Мария;Звёздные войны;фантастика;7.9
Мария;Престиж;триллер;8.4
Мария;Тёмный рыцарь;боевик;7.7
Мария;Pulp Fiction;криминал;8.3
Мария;Побег из Шоушенка;драма;9.0
Мария;Крёстный отец;криминал;7.7
Мария;Терминатор 2;боевик;8.7
Мария;Властелин колец;фэнтези;7.7
Мария;Goodfellas;криминал;8.9
Мария;Форрест Гамп;драма;9.3
Мария;Зелёная миля;драма;9.4
Мария;Список Шиндлера;драма;8.4
Мария;Интерстеллар;фантастика;8.1
Мария;Однажды в Голливуде;комедия;8.6
Мария;Матрица;боевик;8.4
Мария;Назад в будущее;фантастика;7.9
Мария;Большой Лебовски;комедия;7.6
Мария;Джокер;драма;8.1
Дмитрий;Джокер;драма;8.0
Дмитрий;Список Шиндлера;драма;7.8
Дмитрий;Pulp Fiction;криминал;9.3
Дмитрий;Терминатор 2;боевик;8.7
Дмитрий;Интерстеллар;фантастика;8.3
Дмитрий;Властелин колец;фэнтези;8.0
Дмитрий;Довод;боевик;8.8
Дмитрий;Назад в будущее;фантастика;7.5
Дмитрий;Молчание ягнят;триллер;8.1
Дмитрий;Матрица;боевик;8.5
Дмитрий;Один дома;комедия;7.7
Дмитрий;Побег из Шоушенка;драма;9.1
Дмитрий;Бойцовский клуб;триллер;9.3
Дмитрий;Семь;триллер;7.9
Дмитрий;Начало;боевик;8.9
Дмитрий;Goodfellas;криминал;9.4
Дмитрий;Тёмный рыцарь;боевик;7.4
Дмитрий;Крёстный отец;криминал;7.9
Дмитрий;Форрест Гамп;драма;9.4
Дмитрий;Престиж;триллер;9.5
Дмитрий;Однажды в Голливуде;комедия;8.0
Дмитрий;Зелёная миля;драма;9.1
Дмитрий;Звёздные войны;фантастика;7.9
Дмитрий;Леон;криминал;9.0
Дмитрий;Большой Лебовски;комедия;7.8
Анна;Довод;боевик;9.2
Анна;Звёздные войны;фантастика;8.1
Анна;Побег из Шоушенка;драма;8.9
Анна;Большой Лебовски;комедия;8.1
Анна;Властелин колец;фэнтези;7.8
Анна;Престиж;триллер;8.7
Анна;Однажды в Голливуде;комедия;9.0
Анна;Список Шиндлера;драма;8.1
Анна;Бойцовский клуб;триллер;8.2
Анна;Назад в будущее;фантастика;7.6
Анна;Терминатор 2;боевик;8.2
Анна;Леон;криминал;8.5
Анна;Зелёная миля;драма;9.2
Анна;Pulp Fiction;криминал;8.5
Анна;Крёстный отец;криминал;7.6
Анна;Goodfellas;криминал;8.7
Анна;Один дома;комедия;8.4
Анна;Джокер;драма;8.1
Анна;Форрест Гамп;драма;9.5
Анна;Начало;боевик;8.8
Анна;Интерстеллар;фантастика;7.9
Анна;Матрица;боевик;8.6
Анна;Тёмный рыцарь;боевик;8.2
Анна;Семь;триллер;7.0
Павел;Матрица;боевик;9.2
Павел;Интерстеллар;фантастика;8.9
Павел;Звёздные войны;фантастика;8.6
Павел;Большой Лебовски;комедия;7.1
Павел;Молчание ягнят;триллер;7.7
Павел;Форрест Гамп;драма;9.2
Павел;Терминатор 2;боевик;9.1
Павел;Pulp Fiction;криминал;8.9
Павел;Назад в будущее;фантастика;8.2
Павел;Семь;триллер;7.5
Павел;Властелин колец;фэнтези;8.0
Павел;Зелёная миля;драма;8.7
Павел;Довод;боевик;9.4
Павел;Один дома;комедия;8.3
Павел;Джокер;драма;7.8
Павел;Бойцовский клуб;триллер;8.2
Павел;Крёстный отец;криминал;7.7
Павел;Список Шиндлера;драма;7.5
Павел;Goodfellas;криминал;9.2
Павел;Побег из Шоушенка;драма;8.9
Павел;Тёмный рыцарь;боевик;8.2
Павел;Престиж;триллер;9.0
Павел;Начало;боевик;9.3
Павел;Однажды в Голливуде;комедия;8.3
Катя;Один дома;комедия;8.8
Катя;Побег из Шоушенка;драма;8.9
Катя;Тёмный рыцарь;боевик;7.8
Катя;Goodfellas;криминал;8.6
Катя;Крёстный отец;криминал;7.2
Катя;Довод;боевик;9.2
Катя;Однажды в Голливуде;комедия;8.7
Катя;Pulp Fiction;криминал;8.8
Катя;Властелин колец;фэнтези;8.3
Катя;Леон;криминал;8.9
Катя;Интерстеллар;фантастика;8.7
Катя;Список Шиндлера;драма;8.1
Катя;Начало;боевик;9.6
Катя;Звёздные войны;фантастика;8.1
Катя;Большой Лебовски;комедия;7.7
Катя;Молчание ягнят;триллер;7.6
Катя;Зелёная миля;драма;9.1
Катя;Престиж;триллер;8.4
Катя;Матрица;боевик;8.9
Катя;Семь;триллер;7.6
Катя;Форрест Гамп;драма;9.4
Катя;Назад в будущее;фантастика;7.3
Катя;Джокер;драма;7.6
Катя;Терминатор 2;боевик;8.5
Алексей;Форрест Гамп;драма;9.4
Алексей;Список Шиндлера;драма;8.0
Алексей;Джокер;драма;7.4
Алексей;Pulp Fiction;криминал;9.2
Алексей;Молчание ягнят;триллер;8.0
Алексей;Бойцовский клуб;триллер;8.1
Алексей;Goodfellas;криминал;9.3
Алексей;Леон;криминал;9.3
Алексей;Зелёная миля;драма;8.4
Алексей;Крёстный отец;криминал;7.9
Алексей;Властелин колец;фэнтези;8.1
Алексей;Звёздные войны;фантастика;8.6
Алексей;Терминатор 2;боевик;9.2
Алексей;Престиж;триллер;8.1
Алексей;Побег из Шоушенка;драма;8.4
Алексей;Довод;боевик;9.7
Алексей;Матрица;боевик;9.2
Алексей;Большой Лебовски;комедия;7.8
Алексей;Один дома;комедия;9.0
Алексей;Назад в будущее;фантастика;8.2
Алексей;Интерстеллар;фантастика;9.0
Алексей;Однажды в Голливуде;комедия;8.5
Алексей;Семь;триллер;7.7
Наташа;Матрица;боевик;8.4
Наташа;Интерстеллар;фантастика;8.5
Наташа;Зелёная миля;драма;8.9
Наташа;Один дома;комедия;8.0
Наташа;Тёмный рыцарь;боевик;7.7
Наташа;Однажды в Голливуде;комедия;8.5
Наташа;Терминатор 2;боевик;9.1
Наташа;Список Шиндлера;драма;7.7
Наташа;Крёстный отец;криминал;7.7
Наташа;Побег из Шоушенка;драма;8.6
Наташа;Звёздные войны;фантастика;7.8
Наташа;Семь;триллер;7.8
Наташа;Леон;криминал;9.0
Наташа;Goodfellas;криминал;8.7
Наташа;Форрест Гамп;драма;9.3
Наташа;Pulp Fiction;криминал;9.0
Наташа;Назад в будущее;фантастика;7.4
Наташа;Молчание ягнят;триллер;8.0
Наташа;Властелин колец;фэнтези;8.2
Наташа;Джокер;драма;8.0
Наташа;Престиж;триллер;9.1
Наташа;Большой Лебовски;комедия;8.1
Наташа;Довод;боевик;8.4
Виктор;Семь;триллер;7.6
Виктор;Интерстеллар;фантастика;8.3
Виктор;Зелёная миля;драма;9.0
Виктор;Назад в будущее;фантастика;7.6
Виктор;Молчание ягнят;триллер;7.9
Виктор;Терминатор 2;боевик;9.1
Виктор;Престиж;триллер;8.8
Виктор;Начало;боевик;8.7
Виктор;Форрест Гамп;драма;9.0
Виктор;Pulp Fiction;криминал;9.2
Виктор;Список Шиндлера;драма;7.7
Виктор;Побег из Шоушенка;драма;9.2
Виктор;Леон;криминал;9.6
Виктор;Бойцовский клуб;триллер;8.0
Виктор;Джокер;драма;8.1
Виктор;Goodfellas;криминал;10.0
Виктор;Матрица;боевик;9.3
Виктор;Довод;боевик;9.0
Виктор;Один дома;комедия;7.5
Виктор;Большой Лебовски;комедия;7.8
Лена;Звёздные войны;фантастика;7.7
Лена;Довод;боевик;9.3
Лена;Матрица;боевик;8.9
Лена;Крёстный отец;криминал;7.2
Лена;Джокер;драма;8.1
Лена;Тёмный рыцарь;боевик;7.0
Лена;Однажды в Голливуде;комедия;8.1
Лена;Большой Лебовски;комедия;7.7
Лена;Терминатор 2;боевик;8.2
Лена;Один дома;комедия;8.5
Лена;Форрест Гамп;драма;9.0
Лена;Pulp Fiction;криминал;8.7
Лена;Назад в будущее;фантастика;7.6
Лена;Список Шиндлера;драма;8.6
Лена;Семь;триллер;7.0
Лена;Властелин колец;фэнтези;8.6
Лена;Побег из Шоушенка;драма;9.0
Лена;Молчание ягнят;триллер;7.5
Лена;Бойцовский клуб;триллер;8.4
Лена;Леон;криминал;9.1
Лена;Начало;боевик;8.6
Лена;Goodfellas;криминал;9.0
Лена;Престиж;триллер;8.3
Иван;Форрест Гамп;драма;9.0
Иван;Pulp Fiction;криминал;9.0
Иван;Однажды в Голливуде;комедия;8.6
Иван;Властелин колец;фэнтези;7.6
Иван;Один дома;комедия;8.3
Ольга;Интерстеллар;фантастика;7.8
Ольга;Семь;триллер;7.5
Ольга;Начало;боевик;8.7
Ольга;Pulp Fiction;криминал;9.1
Ольга;Goodfellas;криминал;9.0
Сергей;Назад в будущее;фантастика;7.9
Сергей;Зелёная миля;драма;8.6
Сергей;Властелин колец;фэнтези;7.8
Сергей;Довод;боевик;9.9
Сергей;Тёмный рыцарь;боевик;8.6
Мария;Побег из Шоушенка;драма;8.9
Мария;Зелёная миля;драма;9.3
Мария;Большой Лебовски;комедия;7.9
Мария;Леон;криминал;9.3
Мария;Список Шиндлера;драма;8.5
Дмитрий;Тёмный рыцарь;боевик;7.8
Дмитрий;Терминатор 2;боевик;8.5
Дмитрий;Форрест Гамп;драма;9.6
Дмитрий;Звёздные войны;фантастика;8.1
Дмитрий;Интерстеллар;фантастика;8.3
Анна;Начало;боевик;8.6
Анна;Бойцовский клуб;триллер;8.7
Анна;Тёмный рыцарь;боевик;7.7
Анна;Один дома;комедия;8.0
Анна;Назад в будущее;фантастика;7.5
Павел;Матрица;боевик;9.0
Павел;Зелёная миля;драма;8.9
Павел;Терминатор 2;боевик;9.2
Павел;Однажды в Голливуде;комедия;8.3
Павел;Назад в будущее;фантастика;8.4
Катя;Большой Лебовски;комедия;8.0
Катя;Goodfellas;криминал;9.1
Катя;Звёздные войны;фантастика;7.8
Катя;Побег из Шоушенка;драма;9.1
Катя;Pulp Fiction;криминал;8.7
Алексей;Терминатор 2;боевик;8.9
Алексей;Назад в будущее;фантастика;8.1
Алексей;Pulp Fiction;криминал;8.9
Алексей;Список Шиндлера;драма;8.4
Алексей;Начало;боевик;8.8
Наташа;Интерстеллар;фантастика;8.0
Наташа;Список Шиндлера;драма;8.6
Наташа;Джокер;драма;8.4
Наташа;Терминатор 2;боевик;8.6
Наташа;Начало;боевик;8.8
Виктор;Интерстеллар;фантастика;8.5
Виктор;Назад в будущее;фантастика;7.6
Виктор;Большой Лебовски;комедия;7.4
Виктор;Форрест Гамп;драма;8.9
Виктор;Однажды в Голливуде;комедия;8.2
Лена;Властелин колец;фэнтези;8.3
Лена;Форрест Гамп;драма;9.2
Лена;Pulp Fiction;криминал;8.7
Лена;Goodfellas;криминал;9.1
Лена;Интерстеллар;фантастика;8.2
Иван;Звёздные войны;фантастика;8.0
Иван;Престиж;триллер;8.6
Иван;Интерстеллар;фантастика;8.7
Иван;Крёстный отец;криминал;7.4
Иван;Тёмный рыцарь;боевик;8.3
Ольга;Goodfellas;криминал;9.3
Ольга;Молчание ягнят;триллер;7.5
Ольга;Интерстеллар;фантастика;7.9
Ольга;Крёстный отец;криминал;7.5
Ольга;Побег из Шоушенка;драма;9.1
Сергей;Властелин колец;фэнтези;8.0
Сергей;Довод;боевик;10.0
Сергей;Начало;боевик;9.5
Сергей;Goodfellas;криминал;9.0
Сергей;Интерстеллар;фантастика;8.7
Мария;Матрица;боевик;8.1
Мария;Джокер;драма;8.2
Мария;Зелёная миля;драма;9.0
Мария;Терминатор 2;боевик;8.4
Мария;Однажды в Голливуде;комедия;8.2
Дмитрий;Молчание ягнят;триллер;8.3
Дмитрий;Терминатор 2;боевик;9.0
Дмитрий;Побег из Шоушенка;драма;9.0
Дмитрий;Список Шиндлера;драма;8.3
Дмитрий;Тёмный рыцарь;боевик;8.2
Анна;Однажды в Голливуде;комедия;8.2
Анна;Начало;боевик;8.7
Анна;Терминатор 2;боевик;8.4
Анна;Крёстный отец;криминал;7.5
Анна;Бойцовский клуб;триллер;8.2
Павел;Леон;криминал;9.0
Павел;Терминатор 2;боевик;9.1
