League,Home,Away,INC,Round,Date,Time,H_Score,A_Score,HT_H_Score,HT_A_Score,WIN,H_BET,X_BET,A_BET,WIN_BET,OVER_2.5,OVER_3.5,H_15,A_15,H_45_50,A_45_50,H_90,A_90,H_Missing_Players,A_Missing_Players,Missing_Players,H_Ball_Possession,A_Ball_Possession,H_Goal_Attempts,A_Goal_Attempts,H_Shots_on_Goal,A_Shots_on_Goal,H_Attacks,A_Attacks,H_Dangerous_Attacks,A_Dangerous_Attacks,H_Shots_off_Goal,A_Shots_off_Goal,H_Blocked_Shots,A_Blocked_Shots,H_Free_Kicks,A_Free_Kicks,H_Corner_Kicks,A_Corner_Kicks,H_Offsides,A_Offsides,H_Throw_in,A_Throw_in,H_Goalkeeper_Saves,A_Goalkeeper_Saves,H_Fouls,A_Fouls,H_Yellow_Cards,A_Yellow_Cards,Game Link,Year
premier-league,Arsenal,Everton,"[""08' Goal_Home - Bellerin H.(Welbeck D.)"", ""14' Red_Card_Home - Koscielny L.(Podcięcie)"", ""19' Yellow_Away - Williams A.(Faul)"", ""27' Goal_Home - Sanchez A.(Welbeck D.)"", ""39' Yellow_Away - Jagielka P.(Podcięcie)"", ""52' Yellow_Home - Gabriel Paulista(Podcięcie)"", ""58' Goal_Away - Lukaku R.(Penalty )"", ""61' Yellow_Away - Schneiderlin M.(Podcięcie)"", ""62' Yellow_Home - Holding R.(Nadmierna ostrość)"", ""73' Yellow_Away - Baines L.(Przytrzymywanie)"", ""90+1' Goal_Home - Ramsey A.(Ozil M.)""]",38,2017-05-21,16:00,3.0,1.0,2.0,0.0,Home,1.37,5.4,7.9,1.37,True,True,True,False,False,False,True,False,3.0,7.0,-4.0,50%,50%,17.0,22.0,9.0,7.0,,,,,3.0,8.0,5.0,7.0,17.0,9.0,4.0,6.0,0.0,1.0,,,6.0,6.0,10.0,15.0,2.0,4.0,https://www.flashscore.com/match/SGPa5fvr/#/match-summary/match-summary,2017
premier-league,Burnley,West Ham,"[""17' Yellow_Away - Collins J.(Faul)"", ""23' Goal_Home - Vokes S.(Gray A.)"", ""26' Yellow_Home - Westwood A.(Podcięcie)"", ""27' Goal_Away - Feghouli S.(Ayew A.)"", ""42' Yellow_Away - Lanzini M.(Podcięcie)"", ""72' Goal_Away - Ayew A."", ""86' Yellow_Home - Gudmundsson J.(Podcięcie)""]",38,2017-05-21,16:00,1.0,2.0,1.0,1.0,Away,2.29,3.27,3.15,3.15,True,False,False,False,False,False,False,False,4.0,9.0,-5.0,44%,56%,9.0,14.0,1.0,4.0,,,,,7.0,5.0,1.0,5.0,17.0,11.0,2.0,5.0,0.0,3.0,,,2.0,0.0,11.0,14.0,2.0,2.0,https://www.flashscore.com/match/viT34Egl/#/match-summary/match-summary,2017
premier-league,Chelsea,Sunderland,"[""03' Goal_Away - Manquillo J."", ""08' Goal_Home - Willian"", ""38' Yellow_Home - Costa D.(Niesportowe zachowanie)"", ""48' Yellow_Away - Jones B.(Nadmierna ostrość)"", ""61' Goal_Home - Hazard E.(Costa D.)"", ""77' Goal_Home - Pedro"", ""90' Goal_Home - Batshuayi M.(Pedro)"", ""90+2' Goal_Home - Batshuayi M.(Fabregas C.)""]",38,2017-05-21,16:00,5.0,1.0,1.0,1.0,Home,1.11,10.5,22.0,1.11,True,True,True,True,False,False,True,False,1.0,11.0,-10.0,71%,29%,28.0,7.0,8.0,3.0,,,,,12.0,2.0,8.0,2.0,16.0,8.0,11.0,1.0,0.0,1.0,,,2.0,3.0,8.0,15.0,1.0,1.0,https://www.flashscore.com/match/YDS73Y8f/#/match-summary/match-summary,2017
premier-league,Hull,Tottenham,"[""11' Goal_Away - Kane H.(Eriksen C.)"", ""13' Goal_Away - Kane H.(Trippier K.)"", ""45+2' Goal_Away - Alli D.(Son Heung-Min)"", ""66' Goal_Home - Clucas S.(Niasse O.)"", ""69' Goal_Away - Wanyama V.(Eriksen C.)"", ""72' Goal_Away - Kane H.(Alli D.)"", ""84' Goal_Away - Davies B.(Wanyama V.)"", ""87' Goal_Away - Alderweireld T.(Trippier K.)""]",38,2017-05-21,16:00,1.0,7.0,0.0,3.0,Away,7.5,4.6,1.4,1.4,True,True,False,True,False,True,False,False,8.0,4.0,4.0,35%,65%,10.0,19.0,4.0,14.0,,,,,4.0,3.0,2.0,2.0,5.0,17.0,2.0,3.0,2.0,0.0,,,7.0,3.0,14.0,5.0,,,https://www.flashscore.com/match/C4RB2hO0/#/match-summary/match-summary,2017
premier-league,Leicester,Bournemouth,"[""01' Goal_Away - Stanislas J."", ""45+2' Yellow_Home - Benalouane Y.(Podcięcie)"", ""51' Goal_Home - Vardy J.(Slimani I.)"", ""57' Yellow_Home - Simpson D.(Uderzenie łokciem)"", ""75' Yellow_Away - Francis S.(Podcięcie)"", ""84' Yellow_Home - Mahrez R.(Faul)"", ""90+1' Yellow_Home - Chilwell B.(Przytrzymywanie)""]",38,2017-05-21,16:00,1.0,1.0,0.0,1.0,Draw,1.9,3.7,3.85,3.7,False,False,False,True,False,False,False,False,5.0,4.0,1.0,49%,51%,21.0,10.0,5.0,4.0,,,,,9.0,2.0,7.0,4.0,11.0,16.0,9.0,1.0,5.0,1.0,,,3.0,4.0,11.0,10.0,4.0,1.0,https://www.flashscore.com/match/UuMG1Cw7/#/match-summary/match-summary,2017
premier-league,Liverpool,Middlesbrough,"[""45+1' Goal_Home - Wijnaldum G.(Firmino R.)"", ""51' Goal_Home - Coutinho"", ""56' Goal_Home - Lallana A.(Wijnaldum G.)"", ""56' Yellow_Away - Gestede R.(Faul)""]",38,2017-05-21,16:00,3.0,0.0,1.0,0.0,Home,1.12,8.5,22.0,1.12,True,False,False,False,True,False,False,False,3.0,2.0,1.0,74%,26%,25.0,9.0,10.0,3.0,,,,,9.0,3.0,6.0,3.0,8.0,14.0,3.0,3.0,1.0,0.0,,,3.0,7.0,13.0,8.0,0.0,1.0,https://www.flashscore.com/match/8WKK0WhD/#/match-summary/match-summary,2017
premier-league,Manchester Utd,Crystal Palace,"[""15' Goal_Home - Harrop J.(Pogba P.)"", ""19' Goal_Home - Pogba P."", ""48' Yellow_Home - McTominay S.(Podcięcie)"", ""74' Yellow_Home - Carrick M.(Przytrzymywanie)""]",38,2017-05-21,16:00,2.0,0.0,2.0,0.0,Home,2.4,3.3,2.95,2.4,False,False,True,False,False,False,False,False,9.0,6.0,3.0,59%,41%,9.0,6.0,2.0,1.0,,,,,3.0,2.0,4.0,3.0,12.0,16.0,3.0,6.0,0.0,1.0,,,1.0,0.0,16.0,10.0,2.0,0.0,https://www.flashscore.com/match/MZ82PFVD/#/match-summary/match-summary,2017
premier-league,Southampton,Stoke,"[""53' Yellow_Away - Allen J.(Podcięcie)"", ""60' Goal_Away - Crouch P.(Cameron G.)"", ""63' Yellow_Away - Whelan G.(Podcięcie)"", ""67' Yellow_Away - Sobhi R.(Przytrzymywanie)"", ""70' Yellow_Home - Boufal S.(Nadmierna ostrość)"", ""90' Yellow_Away - Shaqiri X.(Niesportowe zachowanie)"", ""90' Yellow_Home - Stephens J.(Niesportowe zachowanie)""]",38,2017-05-21,16:00,0.0,1.0,0.0,0.0,Away,1.65,4.0,5.4,5.4,False,False,False,False,False,False,False,False,3.0,3.0,0.0,61%,39%,14.0,14.0,6.0,3.0,,,,,3.0,6.0,5.0,5.0,11.0,15.0,4.0,10.0,3.0,2.0,,,2.0,6.0,12.0,10.0,2.0,4.0,https://www.flashscore.com/match/zwD6OZpK/#/match-summary/match-summary,2017
premier-league,Swansea,West Brom,"[""33' Goal_Away - Evans J.(Fletcher D.)"", ""51' Yellow_Away - Wilson M.(Podcięcie)"", ""72' Goal_Home - Ayew J.(Llorente F.)"", ""86' Goal_Home - Llorente F.(Narsingh L.)"", ""90+2' Yellow_Home - Fernandez F.""]",38,2017-05-21,16:00,2.0,1.0,0.0,1.0,Home,2.25,3.4,3.3,2.25,True,False,False,False,False,False,False,False,3.0,2.0,1.0,66%,34%,12.0,16.0,2.0,5.0,,,,,6.0,6.0,4.0,5.0,10.0,10.0,7.0,4.0,1.0,0.0,,,4.0,0.0,8.0,10.0,1.0,1.0,https://www.flashscore.com/match/O0dntaCM/#/match-summary/match-summary,2017
premier-league,Watford,Manchester City,"[""05' Goal_Away - Kompany V.(De Bruyne K.)"", ""23' Goal_Away - Aguero S.(De Bruyne K.)"", ""36' Goal_Away - Aguero S.(Sane L.)"", ""41' Goal_Away - Fernandinho(Gabriel Jesus)"", ""45+1' Yellow_Home - Doucoure A.(Faul)"", ""58' Goal_Away - Gabriel Jesus(Aguero S.)""]",38,2017-05-21,16:00,0.0,5.0,0.0,4.0,Away,17.0,8.88,1.15,1.15,True,True,False,True,False,False,False,False,7.0,3.0,4.0,33%,67%,6.0,15.0,3.0,9.0,,,,,2.0,5.0,1.0,1.0,12.0,12.0,4.0,5.0,0.0,2.0,,,4.0,3.0,12.0,10.0,1.0,0.0,https://www.flashscore.com/match/I12BNg0Q/#/match-summary/match-summary,2017
